ID,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,DAY_7,DAY_8,DAY_9,DAY_10,DAY_11,DAY_12,DAY_13,DAY_14,DAY_15,DAY_16,DAY_17,DAY_18,DAY_19,DAY_20,DAY_21,DAY_22,DAY_23,DAY_24,DAY_25,DAY_26,DAY_27,DAY_28,DAY_29,DAY_30,DAY_31
Mech_139,A,P,P,A,A,P,P,P,P,P,P,P,A,A,A,P,P,P,A,P,A,A,A,P,P,A,P,A,P,P,A
Mech_140,P,P,P,A,P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,P,A,P,P,A,A,A,P,P,P,A,P
Mech_141,P,A,A,P,P,P,A,A,P,A,A,A,P,P,A,A,P,P,P,A,A,P,P,A,P,A,P,P,P,P,P
Mech_142,P,A,P,P,P,P,P,A,P,P,P,P,A,P,A,P,P,P,P,P,A,P,A,A,P,P,P,P,P,P,P
Mech_143,A,A,A,A,P,P,P,A,P,P,P,A,A,A,P,A,P,P,A,P,P,P,P,P,A,A,P,P,P,P,P
Mech_144,A,A,P,P,A,P,A,A,A,P,A,P,A,P,P,A,P,A,P,A,P,A,P,A,P,A,A,P,P,A,P
Mech_145,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,A,A,A,P,A,P,P,A,P,P,P,P,P
Mech_146,P,P,P,P,A,A,P,P,A,P,P,P,A,P,P,P,P,P,P,P,A,A,A,A,P,P,P,A,P,P,A
Mech_147,P,P,P,A,P,P,P,A,P,A,P,P,A,P,P,P,P,P,A,A,P,P,A,P,A,A,P,P,P,A,P
Mech_148,P,P,A,P,P,P,A,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P
Mech_149,P,P,P,A,P,P,A,A,P,P,A,A,P,P,A,A,A,A,P,P,P,P,P,P,P,P,A,P,P,P,A
Mech_150,P,P,P,P,A,P,A,P,A,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,A,P,A,P,P,A,P
Mech_151,A,A,A,P,P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P
Mech_152,P,A,P,A,A,P,P,P,P,A,A,P,P,A,A,A,P,A,P,P,P,A,A,P,A,A,A,P,P,P,A
Mech_153,P,P,P,P,P,A,A,A,P,A,P,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,A,A
Mech_154,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,A,P,P,P,P,P,P
Mech_155,P,P,P,P,A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,A
Mech_156,A,P,P,P,P,P,P,P,P,A,P,P,A,A,P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A
Mech_157,P,A,A,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P
Mech_158,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,A,A,P,P,A,A,P,P,P,A,A,P
Mech_159,P,A,A,A,P,P,P,A,A,P,A,P,P,P,P,A,A,A,P,P,P,P,P,P,P,P,P,A,P,P,P
Mech_160,P,A,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,A,P
Mech_161,P,P,P,P,P,P,P,A,P,P,A,A,P,A,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,P,P
Mech_162,P,P,P,P,P,A,P,P,A,P,P,P,A,P,A,A,P,A,P,P,P,P,P,P,P,A,P,P,P,A,A
Mech_163,P,A,A,A,P,P,A,P,A,P,P,A,P,A,P,P,A,P,P,P,A,P,A,P,P,A,P,P,P,P,P
Mech_164,P,A,A,A,P,P,P,P,P,A,P,A,P,P,P,A,P,A,P,P,P,P,P,A,P,A,A,P,P,P,P
Mech_165,A,P,A,A,P,P,P,P,P,P,A,P,P,P,A,P,P,A,A,P,P,P,P,A,A,P,P,P,A,P,P
Mech_166,P,P,P,P,A,A,A,P,A,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P
Mech_167,P,P,P,A,P,P,P,P,P,A,A,A,P,A,A,P,P,P,P,A,P,A,P,P,A,P,A,P,A,A,A
Mech_168,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,A,A,P,P,P,A,P,P,A,A,P,P,P,P
Mech_169,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P
Mech_170,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P,A
Mech_171,P,P,P,A,P,P,A,P,P,P,P,A,P,P,A,P,A,A,P,P,A,P,P,P,P,P,P,P,P,A,P
Mech_172,A,P,P,P,P,A,P,A,P,P,P,P,P,A,P,A,A,A,A,P,P,P,P,P,P,P,A,P,P,P,A
Mech_173,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,A,A,P,A,A,P,P,P,A,P,P,A
Mech_174,P,A,P,A,A,P,P,A,A,P,A,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P
Mech_175,P,P,P,P,P,P,P,P,P,P,A,A,P,A,A,A,P,A,P,P,A,P,P,P,P,A,P,P,A,P,A
Mech_176,A,P,P,P,A,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,A,P,P,P,P,P,P,P,A
Mech_177,P,P,P,P,P,A,P,A,P,P,P,P,P,P,A,A,A,P,P,P,P,P,P,P,P,P,A,P,A,A,A
Mech_178,P,P,P,A,P,P,P,P,P,P,A,A,P,P,A,P,A,P,P,A,A,A,P,A,P,P,P,A,P,A,P
Mech_179,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P
Mech_180,A,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,A,A,A,P,P,A,P,P,P,A,P,P,A,P,P
Etc_1,P,P,P,P,P,P,P,A,A,P,A,A,A,A,P,A,P,P,P,P,A,A,A,A,P,A,P,A,A,A,P
Etc_2,P,P,A,A,A,P,P,P,P,P,P,P,A,P,A,P,A,A,P,P,A,A,A,P,P,P,A,A,P,P,P
Etc_3,A,P,A,P,A,P,A,P,A,P,A,P,A,A,A,P,P,A,P,P,P,P,A,P,P,P,P,P,P,A,P
Etc_4,P,A,P,A,P,P,P,A,A,A,A,P,A,A,P,A,A,P,A,P,P,P,A,A,P,A,A,P,A,P,P
Etc_5,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,A
Etc_6,P,A,P,P,P,P,P,P,P,A,A,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,P
Etc_7,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,A,P,P,A,P,A,P,P
Etc_8,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,A
Etc_9,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,A,A,P,A,P,P
Etc_10,P,A,P,A,P,P,A,P,P,P,P,A,A,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P
Etc_11,P,A,P,A,P,P,P,A,P,A,P,A,P,A,P,P,A,P,P,A,P,A,P,P,P,A,A,P,A,A,P
Etc_12,P,P,P,P,P,A,P,P,P,A,P,P,P,A,A,P,P,A,A,P,P,A,P,P,A,A,P,P,A,P,P
Etc_13,P,A,P,A,P,P,P,P,P,A,P,A,P,A,P,P,P,A,A,P,A,P,P,P,P,A,P,P,P,P,A
Etc_14,A,P,P,P,A,P,P,P,A,A,P,A,P,P,A,P,A,P,A,P,A,P,P,A,P,P,P,P,P,P,P
Etc_15,A,P,P,A,A,P,P,P,P,A,P,P,P,A,A,A,P,P,A,P,P,P,P,A,P,P,P,P,P,P,A
Etc_16,P,A,A,P,A,A,A,P,P,P,P,P,P,A,P,P,P,P,P,A,P,A,A,P,A,A,P,P,A,P,A
Etc_17,A,P,A,P,P,P,P,P,P,P,A,A,A,P,A,P,A,P,P,A,A,P,P,A,P,A,P,P,A,P,A
Etc_18,P,P,P,P,A,P,P,P,A,P,P,P,A,P,P,P,A,A,P,A,A,P,P,P,P,A,A,P,P,P,A
Etc_19,A,P,P,A,P,P,P,P,P,P,P,A,A,P,P,P,A,P,A,P,P,A,P,A,P,P,P,P,P,P,P
Etc_20,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,A,P,P,A,A,P,P,A,P,P
